amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,source,source_type,source_class,waterpoint_type
0,Feb-201,Rare,986,DWE,35.42444315,-10.57968552,Rare,Ruvuma / Southern Coast,Rare,Ruvuma,10,2,Songea Rural,Rare,0,TRUE,VWC,Mradi wa maji wa maposeni,TRUE,2009,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,river,river/lake,surface,communal standpipe
0,Apr-201,Water,0,Rare,35.89487669,-6.14752205,Kwa Mbogambi,Wami / Ruvu,Rare,Dodoma,1,5,Dodoma Urban,Rare,0,TRUE,VWC,Ihum,FALSE,1987,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,salty,salty,dry,machine dbh,borehole,groundwater,communal standpipe multiple
0,Feb-201,Dwsp,0,DWE,34.89,-6.37,Nkubanija,Lake Victoria,Rare,Shinyanga,17,1,Bariadi,Rare,0,TRUE,WUG,,FALSE,1987,nira/tanira,nira/tanira,handpump,wug,user-group,pay when scheme fails,on failure,salty abandoned,salty,enough,shallow well,shallow well,groundwater,hand pump
0,Feb-201,Rare,1309,Rare,36.29176128,-5.24231281,Zahanati,Internal,Rare,Manyara,21,5,Kiteto,Rare,860,TRUE,VWC,BFFS,FALSE,2002,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe
5,Dec-201,Private Individual,1564,Dmdd,35.6124173,-3.35116762,Bado,Internal,Rare,Arusha,24,30,Karatu,Rare,200,TRUE,VWC,Gyewasu,TRUE,2002,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,river,river/lake,surface,communal standpipe
0,Oct-201,Government Of Tanzania,0,DWE,32.86178245,-3.92819891,Gati La Selemi,Internal,Rare,Tabora,14,1,Nzega,Rare,0,FALSE,VWC,,TRUE,1987,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe
0,Nov-201,Rare,0,Rare,33.12453405,-4.85766882,Shuleni,Lake Tanganyika,Rare,Tabora,14,3,Uyui,Rare,0,TRUE,VWC,,TRUE,1987,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,shallow well,shallow well,groundwater,hand pump
20,Mar-201,Private Individual,1537,Dmdd,35.66507527,-3.34770932,Kwa Matambi,Internal,Rare,Arusha,24,30,Karatu,Rare,300,TRUE,VWC,Kaviwasu,TRUE,1998,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,coloured,colored,enough,river,river/lake,surface,communal standpipe multiple
500,Mar-201,Unicef,1489,DWE,34.72199105,-8.86253212,Shuleni,Rufiji,Rare,Iringa,11,4,Njombe,Rare,360,TRUE,WUA,wanging'ombe supply scheme,TRUE,1978,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,river,river/lake,surface,communal standpipe
500,Jul-201,Unicef,1798,DWE,34.70534261,-9.1394961,Kwa Batweli Fute,Rufiji,Rare,Iringa,11,4,Njombe,Mdandu,45,TRUE,WUA,wanging'ombe water supply s,TRUE,1978,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,river,river/lake,surface,communal standpipe
0,Mar-201,Rare,0,DWE,38.83713732,-4.77558442,Rare,Pangani,Rare,Tanga,4,8,Mkinga,Rare,200,TRUE,VWC,Bwiti gravity water,TRUE,1971,gravity,gravity,gravity,vwc,user-group,never pay,never pay,coloured,colored,insufficient,spring,spring,groundwater,communal standpipe
1000,Feb-201,Government Of Tanzania,1642,Rare,37.65808091,-3.7238624,Kwa Juma Sadick,Pangani,Rare,Kilimanjaro,3,2,Mwanga,Rare,45,TRUE,WUA,Kindoroko water supply,FALSE,1972,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Feb-201,Rare,362,DWE,37.47632192,-6.28331307,Shuleni,Wami / Ruvu,Rare,Morogoro,5,6,Mvomero,Rare,1,TRUE,VWC,Dimamba,TRUE,1984,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,river,river/lake,surface,communal standpipe
0,Mar-201,Danida,0,DANIDA,33.32603356,-8.88128573,Wangu Simanyana,Lake Rukwa,Rare,Mbeya,12,2,Mbeya Rural,Rare,0,TRUE,VWC,,FALSE,1987,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,dry,river,river/lake,surface,communal standpipe
50,Feb-201,Jaica,128,Rare,40.04071287,-10.49203103,Sokoni,Ruvuma / Southern Coast,Rare,Mtwara,99,1,Mtwara Rural,Rare,400,TRUE,VWC,Nanguruwe water supply,TRUE,2006,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe multiple
0,Mar-201,Government Of Tanzania,216,DWE,38.72134804,-5.17252308,Mashuini,Pangani,Mashuini,Tanga,4,3,Muheza,Rare,120,TRUE,VWC,,FALSE,1983,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,shallow well,shallow well,groundwater,hand pump
0,Oct-201,World Bank,0,Rare,33.14491487,-3.71753771,Kwa Kulwa Lusoka,Lake Victoria,Rare,Shinyanga,17,3,Shinyanga Rural,Rare,0,TRUE,VWC,Kaselya,TRUE,1987,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe multiple
0,Aug-201,Rare,0,Rare,33.33199615,-2.70336413,Nyasambi,Lake Victoria,Nyasambi,Mwanza,19,4,Kwimba,Rare,0,TRUE,VWC,,TRUE,1987,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,unknown,unknown,dry,shallow well,shallow well,groundwater,hand pump
0,Jul-201,Ministry Of Water,0,DWE,33.13082951,-3.22665421,Rare,Lake Victoria,Rare,Mwanza,19,4,Kwimba,Rare,0,TRUE,VWC,KASHWASA,TRUE,1987,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,lake,river/lake,surface,communal standpipe multiple
0,Apr-201,Government Of Tanzania,0,Rare,33.62516779,-8.86101931,Beno,Rufiji,Iduda,Mbeya,12,2,Mbeya Rural,Rare,0,TRUE,VWC,,TRUE,1987,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,dry,river,river/lake,surface,communal standpipe
0,Oct-201,Rare,0,Rare,32.35815302,-4.96546043,Jumanne Mihayo,Lake Tanganyika,Rare,Tabora,14,3,Uyui,Rare,0,TRUE,VWC,,TRUE,1987,india mark ii,india mark ii,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,machine dbh,borehole,groundwater,hand pump
50,Mar-201,Rare,1010,Rare,37.70648416,-4.00583487,Rare,Pangani,Rare,Kilimanjaro,3,3,Same,Rare,180,TRUE,Water authority,Njoishi water supply,TRUE,2007,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,machine dbh,borehole,groundwater,communal standpipe
0,Apr-201,Rc Church,0,Rare,33.66386327,-8.98179247,Kwa Jailos Nyaranga,Rufiji,Rare,Mbeya,12,2,Mbeya Rural,Rare,0,FALSE,VWC,,FALSE,1987,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,enough,river,river/lake,surface,communal standpipe
0,Oct-201,Government Of Tanzania,0,Government,33.77857064,-3.06340514,Mzee Ugali,Lake Victoria,Rare,Shinyanga,17,2,Maswa,Rare,0,TRUE,Water authority,Maswa Water supply program,FALSE,1987,gravity,gravity,gravity,private operator,commercial,pay monthly,monthly,soft,good,enough,dam,dam,surface,communal standpipe
0,Jul-201,Rare,0,Rare,33.58724528,-9.16743357,Kwa Kajuni,Lake Nyasa,Rare,Mbeya,12,4,Rungwe,Rare,0,TRUE,VWC,K,Missing,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Mar-201,Government Of Tanzania,1190,DWE,38.4236917,-4.6312447,Sokoni,Pangani,Rare,Tanga,4,1,Lushoto,Rare,1,TRUE,VWC,Muyombo forest,TRUE,1974,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,communal standpipe
1500,Feb-201,Danida,642,DANIDA,37.12085919,-10.78502855,Rare,Ruvuma / Southern Coast,Rare,Ruvuma,10,1,Tunduru,Rare,1,TRUE,VWC,,FALSE,1992,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,machine dbh,borehole,groundwater,hand pump
0,Oct-201,Rare,0,DWE,33.59072198,-3.71955244,Kwa Chanzula,Internal,Rare,Shinyanga,17,8,Kishapu,Rare,0,TRUE,VWC,Nhobola piped scheme,TRUE,1987,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,spring,spring,groundwater,communal standpipe multiple
0,Jan-201,Jica,1060.32,DWE,39.56082776,-9.13206159,Ofisini,Ruvuma / Southern Coast,Rare,Lindi,80,13,Kilwa,Rare,530,Missing,VWC,Pande plot Water supply,FALSE,2002,submersible,submersible,submersible,vwc,user-group,Rare,Rare,soft,good,unknown,machine dbh,borehole,groundwater,communal standpipe multiple
0,Aug-201,Hesawa,0,Hesawa,34.89,-6.37,Bombani,Lake Victoria,Rare,Mwanza,19,6,Geita,Rare,0,TRUE,VWC,Borehole,TRUE,1987,other,other,other,vwc,user-group,Rare,Rare,unknown,unknown,dry,machine dbh,borehole,groundwater,other
0,Aug-201,Hesawa,1226,DWE,33.06230846,-1.82664599,Kulutale,Lake Victoria,Rare,Mwanza,19,1,Ukerewe,Rare,1200,TRUE,Rare,,TRUE,1999,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,improved spring
0,Mar-201,Government Of Tanzania,1387,Government,37.55433946,-3.28942377,Kwa Stefano Kessy,Pangani,Rare,Kilimanjaro,3,4,Moshi Rural,Rare,1,TRUE,WUA,Matala pipeline,TRUE,1970,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Feb-201,Danida,805,DANIDA,35.99024647,-10.53404797,Kwa Haji Kuseta,Rufiji,Rare,Ruvuma,10,5,Namtumbo,Msindo,250,TRUE,WUG,,FALSE,1990,swn 80,swn 80,handpump,wug,user-group,pay when scheme fails,on failure,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Mar-201,World Bank,1544,DWE,36.61868919,-3.29203785,Rare,Pangani,Rare,Arusha,2,2,Arusha Rural,Rare,200,TRUE,VWC,Mlimani pipe line,TRUE,2004,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Oct-201,World Vision,0,World vision,33.77914543,-3.32682925,Rare,Internal,Rare,Shinyanga,17,2,Maswa,Rare,0,TRUE,WUG,,FALSE,1987,nira/tanira,nira/tanira,handpump,wug,user-group,Rare,Rare,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Aug-201,Rare,0,TWESA,30.50096464,-2.59036242,Nabagayana,Lake Victoria,Kumgogola,Kagera,18,30,Ngara,Rare,0,TRUE,VWC,,FALSE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,other
500,Oct-201,Rare,1369,Rare,34.25333419,-1.20066603,Sori B,Lake Victoria,Rare,Mara,20,6,Tarime,Rare,560,TRUE,VWC,Rural water supply,TRUE,2011,afridev,afridev,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Jan-201,Rare,1584,Rare,34.85944848,-4.97090922,Rare,Internal,Rare,Singida,13,2,Singida Rural,Rare,1,TRUE,VWC,,Missing,1990,other,other,other,vwc,user-group,Rare,Rare,unknown,unknown,dry,shallow well,shallow well,groundwater,other
2400,Mar-201,Danida,1609,DWE,35.10908924,-8.18809279,Rare,Rufiji,Rare,Iringa,11,2,Mufindi,Rare,0,TRUE,VWC,,TRUE,1987,swn 80,swn 80,handpump,vwc,user-group,pay annually,annually,soft,good,enough,hand dtw,borehole,groundwater,hand pump
1000,Mar-201,Rare,334,DWE,36.50348726,-8.55105463,Mkombezi,Rufiji,Rare,Morogoro,5,4,Ulanga,Rare,230,TRUE,Rare,,TRUE,2010,nira/tanira,nira/tanira,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Mar-201,Government Of Tanzania,1070,DWE,36.80143513,-3.45135176,Kwa Mama Amani,Pangani,Rare,Arusha,2,2,Arusha Rural,Rare,150,TRUE,VWC,Machumba estate pipe line,TRUE,1988,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,other
0,Feb-201,Government Of Tanzania,1286,District council,37.62786033,-3.13469202,Rare,Pangani,Rare,Kilimanjaro,3,1,Rombo,Rare,1,TRUE,Company,Kisale Kitale water supply,TRUE,1962,gravity,gravity,gravity,company,commercial,pay monthly,monthly,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Feb-201,Dwsp,0,DWE,34.89,-6.37,Rare,Lake Victoria,Rare,Mwanza,17,1,Magu,Rare,0,Missing,WUG,,FALSE,1987,nira/tanira,nira/tanira,handpump,wug,user-group,Rare,Rare,soft,good,enough,shallow well,shallow well,groundwater,hand pump
7,Mar-201,Germany Republi,1624,CES,37.22900273,-3.18441406,Kwa Mkenya,Pangani,Nshironi,Kilimanjaro,3,5,Hai,Rare,1,TRUE,Water Board,Machame water supply,TRUE,2008,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,spring,spring,groundwater,communal standpipe
500,Feb-201,Government Of Tanzania,1282,Government,30.12795597,-4.24867926,Kwa Ndade,Lake Tanganyika,Rare,Kigoma,16,2,Kasulu,Rare,950,TRUE,Water authority,,FALSE,1978,ksb,submersible,submersible,vwc,user-group,Rare,Rare,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe multiple
500,Feb-201,Danida,462,DANIDA,37.45782761,-11.20866259,Kwa Sade,Ruvuma / Southern Coast,Rare,Ruvuma,10,1,Tunduru,Rare,1,TRUE,VWC,Amani Water Supply,FALSE,1986,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,river,river/lake,surface,communal standpipe
0,Apr-201,Kkkt,0,KKKT,33.16618409,-8.942157,Sandalason Kayange,Lake Rukwa,Rare,Mbeya,12,6,Mbozi,Rare,0,TRUE,VWC,,FALSE,1987,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,shallow well,shallow well,groundwater,hand pump
0,Feb-201,Adra,1571,Rare,35.52646919,-4.48085439,Rare,Internal,Sharaman,Manyara,21,2,Hanang,Rare,221,TRUE,VWC,Kijiji,TRUE,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,spring,spring,groundwater,communal standpipe
0,Aug-201,Rudep,1546,DWE,31.9968789,-8.80386259,Astado Ngonya,Lake Rukwa,Rare,Rukwa,15,2,Sumbawanga Rural,Rare,50,TRUE,VWC,,FALSE,1985,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,enough,machine dbh,borehole,groundwater,hand pump
0,Feb-201,Government Of Tanzania,0,Government,33.51920554,-3.13524663,Malampaka Primary School,Lake Victoria,Rare,Shinyanga,17,2,Maswa,Rare,0,TRUE,WUG,Malampaka Piped water Scheme,FALSE,1987,gravity,gravity,gravity,wug,user-group,pay per bucket,per bucket,soft,good,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple
1000,Mar-201,Government Of Tanzania,1060.32,DWE,39.05964828,-5.28936932,Rare,Pangani,Rare,Tanga,4,3,Muheza,Rare,25,TRUE,VWC,Msakangoto,FALSE,2009,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple
7,Mar-201,Germany Republi,1133,CES,37.22600343,-3.27103862,Kwa Hamza Baraka,Pangani,Rare,Kilimanjaro,3,5,Hai,Rare,125,TRUE,Water Board,Machame water supply,TRUE,2008,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Mar-201,World Bank,0,Gove,35.56741628,-6.33698054,Rare,Internal,Rare,Dodoma,1,6,Bahi,Rare,0,TRUE,VWC,Nkho,TRUE,1987,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe
500,Mar-201,Government Of Tanzania,900,Rare,37.59031748,-3.7304578,Kwa Aika Shaban,Pangani,Rare,Kilimanjaro,3,2,Mwanga,Rare,80,TRUE,Water Board,Chanjare water supply,TRUE,1972,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,spring,spring,groundwater,other
0,Oct-201,Rare,0,Rare,32.0400396,-4.99156819,George Paulo,Lake Tanganyika,Rare,Tabora,14,4,Urambo,Rare,0,TRUE,VWC,,TRUE,1987,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Mar-201,Government Of Tanzania,1237,DWE,38.46742948,-4.8647269,Kwa Mzee Isack Kanyawane,Pangani,Rare,Tanga,4,1,Lushoto,Rare,1,TRUE,VWC,Mazumbai forest,TRUE,1969,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Jul-201,Hesawa,0,DWE,31.36783688,-1.06107072,Kyamkuma,Lake Victoria,Rare,Kagera,18,7,Misenyi,Rare,0,TRUE,VWC,,TRUE,1987,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,shallow well,shallow well,groundwater,hand pump
0,Jul-201,Hesawa,0,DWE,31.12892305,-1.69420356,Shuleni,Lake Victoria,Rare,Kagera,18,1,Karagwe,Rare,0,TRUE,WUA,Lukare water supp,TRUE,1987,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Jun-201,Government Of Tanzania,1388,Community,36.88065592,-3.31430939,Idd Msuya,Pangani,Rare,Arusha,2,7,Meru,Rare,98,TRUE,VWC,Maambreni gravity water supply,TRUE,2007,gravity,gravity,gravity,vwc,user-group,Rare,Rare,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Oct-201,Rural Water Supply And Sanitat,0,DWE,32.05069828,-3.41259554,Zahanati,Lake Tanganyika,Nyang'Holongo,Shinyanga,17,5,Bukombe,Rare,0,TRUE,Parastatal,,TRUE,1987,gravity,gravity,gravity,parastatal,parastatal,Rare,Rare,soft,good,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe
0,Jul-201,Tasaf,0,DWE,31.83376051,-1.11325712,Shule Ya Msingi Kaalilo,Lake Victoria,Kaalilo,Kagera,18,2,Bukoba Rural,Rare,0,TRUE,VWC,,TRUE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe
